StationCode,isSWMP,DateTimeStamp,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,pH,F_pH,Turb,F_Turb
niwcbwq   ,P,5/9/2023 2:15,,22.4,<0> ,48.54,<0> ,31.7,<0> ,60,<0> ,4.3,<0> ,1.39,<0> ,1.39,<3> ,7.6,<0> ,18,<0> 
niwcbwq   ,P,5/9/2023 2:30,,22.5,<0> ,48.25,<0> ,31.5,<0> ,58.3,<0> ,4.2,<0> ,1.31,<0> ,1.31,<3> ,7.5,<0> ,23,<0> 
niwcbwq   ,P,5/9/2023 2:45,,22.5,<0> ,48.22,<0> ,31.5,<0> ,58.1,<0> ,4.2,<0> ,1.22,<0> ,1.22,<3> ,7.5,<0> ,20,<0> 
niwcbwq   ,P,5/9/2023 3:00,,22.5,<0> ,47.85,<0> ,31.2,<0> ,54.6,<0> ,4,<0> ,1.13,<0> ,1.13,<3> ,7.5,<0> ,15,<0> 
niwcbwq   ,P,5/9/2023 3:15,,22.5,<0> ,47.98,<0> ,31.3,<0> ,54.5,<0> ,3.9,<0> ,1.04,<0> ,1.04,<3> ,7.5,<0> ,15,<0> 
niwcbwq   ,P,5/9/2023 3:30,,22.4,<0> ,48.01,<0> ,31.3,<0> ,53.6,<0> ,3.9,<0> ,0.96,<0> ,0.96,<3> ,7.5,<0> ,14,<0> 
niwcbwq   ,P,5/9/2023 3:45,,22.4,<0> ,47.89,<0> ,31.2,<0> ,50.6,<0> ,3.7,<0> ,0.88,<0> ,0.88,<3> ,7.5,<0> ,12,<0> 
niwcbwq   ,P,5/9/2023 4:00,,22.4,<0> ,47.67,<0> ,31.1,<0> ,49.6,<0> ,3.6,<0> ,0.81,<0> ,0.81,<3> ,7.4,<0> ,11,<0> 
niwcbwq   ,P,5/9/2023 4:15,,22.4,<0> ,46.73,<0> ,30.4,<0> ,44.4,<0> ,3.2,<0> ,0.74,<0> ,0.74,<3> ,7.4,<0> ,12,<0> 
niwcbwq   ,P,5/9/2023 4:30,,22.4,<0> ,46.82,<0> ,30.5,<0> ,44.8,<0> ,3.3,<0> ,0.67,<0> ,0.67,<3> ,7.4,<0> ,11,<0> 
niwcbwq   ,P,5/9/2023 4:45,,22.3,<0> ,45.86,<0> ,29.8,<0> ,41.5,<0> ,3,<0> ,0.62,<0> ,0.62,<3> ,7.3,<0> ,13,<0> 
niwcbwq   ,P,5/9/2023 5:00,,22.3,<0> ,45.38,<0> ,29.4,<0> ,40.4,<0> (CDA),3,<0> (CDA),0.59,<0> ,0.59,<3> ,7.3,<0> ,14,<0> 
niwcbwq   ,P,5/9/2023 5:15,,22.4,<0> ,45.52,<0> ,29.5,<0> ,39.7,<0> (CDA),2.9,<0> (CDA),0.6,<0> ,0.6,<3> ,7.3,<0> ,13,<0> 
niwcbwq   ,P,5/9/2023 5:30,,22.3,<0> ,45.35,<0> ,29.4,<0> ,38.1,<0> (CDA),2.8,<0> (CDA),0.63,<0> ,0.63,<3> ,7.3,<0> ,13,<0> 
niwcbwq   ,P,5/9/2023 5:45,,22.2,<0> ,45.18,<0> ,29.3,<0> ,37.9,<0> (CDA),2.8,<0> (CDA),0.66,<0> ,0.66,<3> ,7.3,<0> ,11,<0> 
niwcbwq   ,P,5/9/2023 6:00,,22.2,<0> ,45.7,<0> ,29.7,<0> ,39,<0> (CDA),2.9,<0> (CDA),0.72,<0> ,0.72,<3> ,7.3,<0> ,11,<0> 
